वाह!	Wow!
मैं एक ऐसी चीज़ ढूँढ रहा था जिसका अस्तित्व कभी था ही नहीं।	I was searching for something that didn't exist.
मैं उसकी अचानक मौत की खबर से चौंक गया।	I was surprised at the news of his sudden death.
तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।	It is necessary for you to go there immediately.
तुम्हें जल्द-से-जल्द डॉक्टर के पास जाने की ज़रूरत है।	It is necessary for you to see a doctor at once.
तुम मानो या न मानो, उससे कोई फ़र्क नहीं पड़ता।	It makes no difference whether you agree or not.
मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?	May I talk with you in private about the matter?
उसकी जान-पहचान में तो बहुत लोग थे पर दोस्त कोई भी नहीं थे।	She had plenty of acquaintances, but no friends.
डॉक्टर ने उससे कहा कि उसे आराम लेना चाहिए।	The doctor told her that she should take a rest.
वे टैक्स सुधार क़ानून के पक्ष में हैं।	They are in favor of the reform of the tax laws.
यह लिफ़्ट छटी मंज़िल तक ही जाती है।	This elevator does not go above the sixth floor.
यह मशीन उस मशीन से बेहतर है।	This machine is superior in quality to that one.
टॉम की जेब में उस समय पचास डॉलर थें।	Tom had fifty dollars in his pocket at the time.
कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।	Tomorrow is my birthday and I will be seventeen.
कल मेरा जन्मदिन है, और मैं सत्रह साल की हो जाऊँगी।	Tomorrow is my birthday and I will be seventeen.
वह चिट्ठी पढ़ने के समय दुखी लग रही थी।	When she was reading the letter, she looked sad.
तुम्हारे खयाल से अम्रीका में फ़ुटबॉल लोकप्रिय क्यों नहीं है?	Why do you think soccer isn't popular in the US?
आप यह स्वेटर बड़े नाप वाले के लिए बदल देंगे क्या?	Will you exchange this sweater for a larger one?
तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।	Write back to me as soon as you get this letter.
क्या आपको लगता है कि हमे अम्रीका से चावल का आयात करना चाहिए?	Do you think we should import rice from the U.S.?
जंगल में रहते समय उसे मलेरिया हो गया।	He contracted malaria while living in the jungle.
उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।	He left all his property to his wife in his will.
उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।	He made such a long speech that we all got bored.
मेरे ख़याल से वह कभी भी वापस नहीं आएगा।	I am of the opinion that he will never come back.
कल रविवार था, तो मैं पूरे दिन सोते रहा।	I slept all day yesterday, because it was Sunday.
जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगा।	I will tell him about it when he comes next time.
जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगी।	I will tell him about it when he comes next time.
अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।	If possible, I'd like to travel around the world.
अगर कॉफ़ी ज़्यादा कड़वी है तो थोड़ा और पानी डाललो।	If the coffee is too strong, add some more water.
लंदन दुनिया के सबसे बड़े शहरों में से एक है।	London is one of the largest cities in the world.
इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।	London, the capital of England, is on the Thames.
यह पैसा ज़रूरतमंदों में बाँट देना चाहिए।	The money should be distributed to those in need.
मुझे वह किताब लौटाने में जल्द-बाज़ी करने की ज़रूरत नहीं है।	There is no hurry about returning the book to me.
कल पार्क में एक भी बच्चा नहीं था।	There weren't any children in the park yesterday.
वे जल्द-से-जल्द शादी करना चाहते थे।	They wanted to get married as soon as they could.
वे मेरा विश्वास नहीं करेंगे चाहे मैं कसम भी क्यों न खालूँ।	They won't believe me even if I swear it is true.
हम यह फ़ैसला नहीं ले पा रहें हैं कि कॉलेज जाएं या न जाएं।	We cannot decide whether to go to college or not.
तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।	You have the freedom to travel wherever you like.
पिताजी मेरे पहाड़ पर अकेले जाने से राज़ी नहीं थे।	Father objected to my going to the mountain alone.
उसको यकीन है कि वह परीक्षा में पास हो जाएगा।	He is confident that he will pass the examination.
उसने कपड़े उतारे बिना ही पानी में छलाँग लगादी।	He jumped into water without removing his clothes.
मुझे ठीक से नहीं पता वह क्या करने वाली है।	I do not know for certain what she is going to do.
मुझे नहीं लगता कि टॉम परीक्षा में उत्तीर्ण होगा।	I have a gut feeling that Tom won't pass the test.
मुझे नहीं लगता कि टॉम टेस्ट में पास होगा।	I have a gut feeling that Tom won't pass the test.
मुझे इस विषय पर कुछ नहीं कहना है।	I have nothing to say with regard to that problem.
मुझे इस समस्या के बारे में कुछ नहीं कहना है।	I have nothing to say with regard to that problem.
मैं उसे पहचानता हूँ पर मैंने उससे कभी बात नहीं करी है।	I know her by sight, but I've never spoken to her.
मैंने दस साल की उम्र में ही गिटार बजाना सीख लिया था।	I learned to play guitar when I was ten years old.
मैंने दोपहरभर अपने दोस्तों से गप मारी।	I spent the whole afternoon chatting with friends.
मैं काम पर जाने के बजाय सारे दिन घर पर रहा।	I stayed at home all day instead of going to work.
मुझे लगता है कि यहाँ कुछ ग़लतफ़ैमी हुई है।	I think there has been some misunderstanding here.
मैं यह नहीं कह रही हूँ कि तुम्हारे उत्तर हमेशा ग़लत होते हैं।	I'm not saying that your answers are always wrong.
भारत विश्व में सातवाँ सबसे बड़ा देश है।	India is the seventh largest country in the world.
इतना शोर था कि किसी को भी मेरी आवाज़ सुनाई नहीं दे रही थी।	It was so noisy that I couldn't make myself heard.
और इंतेज़ार करना समय की सरासर बर्बादी होगी।	It's an absolute waste of time to wait any longer.
अपनी अभिलाषाओं को पूरी करने के लिए मुझे बहुत से लोगों ने बढ़ावा दिया।	Many people encouraged me to fulfill my ambitions.
मेरी माँ अक्सर लोगों के नाम भूलती रहती है।	My mother is constantly forgetting people's names.
वह बहुत ध्यानपूर्वक है, इसलिए बहुत कम ग़लतियाँ करती है।	She is very careful, so she seldom makes mistakes.
वह बूढ़ा आदमी आँखें बंद करके कुरसी में बैठा था।	The old man sat in the chair with his eyes closed.
यह सिद्धांत मेरे समझने से बाहर है।	This theory is too difficult for me to comprehend.
मैं हैरान था कि वह सवाल का जवाब नहीं दे पाई।	To my surprise, she could not answer the question.
आपातकालीन स्तिथि में मुझे क्या नम्बर मिलाना चाहिए?	What number should I call in case of an emergency?
मेरी तुम्हारे लिए यह सलाह है कि अपने दोस्तों से पैसे उधार मत लो।	I advise you not to borrow money from your friends.
मुझे बड़े शहरों का प्रदूषित वातावरण अच्छा नहीं लगता।	I don't like the polluted atmosphere of big cities.
उन दिनों के सिवाय जब बारिश हो रही होती है, मैं साईकल चलाकर काम पर जाता हूँ।	I go to the office by bicycle except on rainy days.
मैं बस स्कूल पहुँचा ही था कि घंटी बज गई।	I had hardly reached the school when the bell rang.
मैं अपने पापा-मम्मी के वापस आने से पहले घर साफ़ करना चाहता हूँ।	I want to clean the house before my parents return.
अस्पताल में मुझसे बहुत देर तक इन्तज़ार करवाया गया।	I was kept waiting for a long time at the hospital.
अंतर्राष्ट्रीय व्यापार मज़बूत अर्थव्यवस्था के लिए आवश्यक है।	International trade is vital for healthy economies.
कहा जाता है कि वह दुनिया में सबसे अमीर आदमी है।	It is said that he is the richest man in the world.
ग्यारह बज चुके हैं। मुझे चलना चाहिए।	It's already eleven o'clock. I must be leaving now.
बैट और बॉल दोनो कल एकसाथ चोरी हो गए।	The bat was stolen yesterday, along with the balls.
लंदन के लोगों को इस ब्रिज पर गर्व है।	The people of London are very proud of this bridge.
यह वह घर है जिसमें मैं रहता था जब मैं छोटा था।	This is the house where I lived when I was a child.
अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।	We are responsible for your protection from now on.
हम स्टेशन पर तब पहुँचे जब ट्रेन चल पड़ी थी।	We arrived at the station as the train was leaving.
हमे लोगों की पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।	We must not speak ill of others behind their backs.
हमे अंदर जाने से पहले जूते उतारने होंगे।	We will have to take off our shoes before going in.
उसके टोक्यो आते ही मैं तुम्हें तुरंत फ़ोन करूँगी।	When he arrives in Tokyo, I'll call you right away.
तुम उसके बारे में ऐसे बात क्यों करते हो जैसे कि वह बूढ़ा आदमी हो?	Why do you talk about him as if he were an old man?
थोड़ी हिचकिचाहट के बाद, उसने किताब को मेज़ पर रखा।	After some hesitation, he laid the book on the desk.
मैं उसके आने से पहले अपना होमवर्क खतम कर लूँगा।	I will get through with my homework before he comes.
मैं आपकी अच्छाई को कभी नहीं भूलूँगा।	I will never forget your kindness so long as I live.
ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।	Look carefully. I'm going to show you how it's done.
मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।	A selfish man thinks of nothing but his own feelings.
मतलबी इनसान केवल अपने बारे में ही सोचता है।	A selfish man thinks of nothing but his own feelings.
बाग के सारे फूल पानी की कमी की वजह से मर गए।	All the flowers in the garden died for lack of water.
मुझे स्टेशन के बाहर अपना एक पुराना दोस्त मिल गया।	I ran into an old friend of mine outside the station.
मैं घंटों तक उस चाबी को ढूँढता रहा जिसे मैंने गिरा दिया था।	I spent hours looking for the key that I had dropped.
मुझे यह तस्वीर जल्द-से-जल्द बनवानी है।	I want this photograph developed as soon as possible.
मैं किसी को तुम्हें घर से लेने के लिए भिजवादूँगा।	I'll arrange for someone to pick you up at your home.
हेलमेट पहने बिना मोटरसाईकल चलाना बहुत खतरनाक होता है।	It is dangerous to ride a motorbike without a helmet.
शायद हमें उस मीटिंग में जाने की ज़रूरत नहीं पड़ेगी।	It may not be necessary for us to go to that meeting.
बहतर होगा कि तुम उससे सलाह न माँगो।	It would be better for you not to ask him for advice.
मेरे हाथ गंदे हैं। मैं अपनी साईकल ठीक कर रहा था।	My hands are dirty. I have been repairing my bicycle.
जब मैं उसके घर पर रही, उसने मुझे रहने के लिए एक बड़ा सा कमरा दिया।	She gave me a large room while I stayed at her house.
सरकार ने उद्योग बढ़ाने के लिए कार्यक्रम शुरू किया।	The government started a program to promote industry.
समिति के अधिकांश सदस्यों ने बिल के पारित होने के खिलाफ़ मत दिया।	The majority of the committee voted against the bill.
कुछ दिन पहले उसकी माँ हस्पताल में चल बसीं।	The other day her mother passed away in the hospital.
चीन की जनसंख्या भारत की से बड़ी है।	The population of China is larger than that of India.
एड्स के फैलाव की तेज़ गति बहुत भयानक है।	The speed of the spread of AIDS is horrifyingly fast.
जब वह नहीं कर सकते जो करना चाह्ते हो, तो वह करो जो कर सकते हो।	When you can't do what you want, you do what you can.
फ्रेंच फ्रांस में अौर इटली के कुछ हिस्सो में बोली जाती है।	French is spoken in France and in some parts of Italy.
मैं जल्दी उठा था, क्योंकि मुझे पहली ट्रेन पकड़नी थी।	I got up early, so that I could catch the first train.
मैं बारिश में फंस गया था और तर-तर भीग गया।	I was caught in a shower and was drenched to the skin.
जापान में बीवा झील से बड़ी और कोई झील नहीं है।	In Japan there aren't any lakes bigger than Lake Biwa.
अगर मैं नहीं आ पाया तो तुम्हें पहले फ़ोन करके बतादूँगा।	In case I can't come, I'll give you a call beforehand.
बहार जाने से पहले सारी बत्तियाँ बंद करना मत भूलना।	Make sure to turn off all the lights before going out.
हाँ शायद मैं दुखी हूँ, पर मुझे अपनी जान लेने का इरादा नहीं है।	Maybe I am unhappy, but I don't intend to kill myself.
आसमान से वह नदी एक विशाल सांप की तरह दिख रही थी।	Seen from the sky, the river looked like a huge snake.
राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।	The king ordered that the prisoner should be set free.
मरीज़ आँखें बंद कर बिस्टर पर लेटा हुआ था।	The patient was lying in the bed with his eyes closed.
पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।	The police arrested the man who had murdered the girl.
हमे अंदर जाने से पहले जूते उतारने होंगे।	We are supposed to take off our shoes at the entrance.
हम रोज़ एक-दूसरे से फ़ोन पर बात करते हैं।	We communicate with each other by telephone every day.
हमने इस नगर को कल सुबह छोड़ने का इरादा किया है।	We have decided on leaving this town tomorrow morning.
अगर तुममें थोड़ा और सब्र होता तो तुम कामयाब हो जाते।	With a little more patience, you would have succeeded.
तुम्हें कुत्ते को बांध देना चाहिए जिससे कि वह किसी को काट न ले।	You had better chain up the dog so that he won't bite.
तुमको लोगों कि पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।	You should not speak ill of others behind their backs.
अगर तुम्हे परीक्षा पास करनी है तो मन लगाकर काम करना होगा।	You'll have to work hard if you want to pass the exam.
इस समस्या की तहकीकात करने के लिए एक समिति स्थापित करी गई है।	A committee has been set up to investigate the problem.
टीवी समाचार के मुताबिक, भारत में विमान दुर्घटना हुई है।	According to TV news, there was a plane crash in India.
एक कहावत है, "कुछ पाने के लिए कुछ खोना पड़ता है"।	As the saying goes, "Nothing ventured, nothing gained."
तुम इन दो तस्वीरों में अंतर बता सकते हो?	Can you tell the difference between these two pictures?
अंग्रेज़ी बोलते समय गलतियों का डर नहीं होना चाहिए।	Don't be afraid to make mistakes when speaking English.
मैं पानी के बिना इन गोलियों को निगल नहीं सकती।	I can't swallow these tablets without a drink of water.
मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।	In order to stay awake I may have to drink more coffee.
ताज महल विश्व के सात आश्चर्यों में से एक है।	The Taj Mahal is one of the seven wonders of the world.
इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।	The number of fish caught in this river was very small.
इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।	The voyage from England to India used to take 6 months.
अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।	There is no point in studying if you are feeling tired.
उनके इनवेस्टमेंट पर ८ प्रतिशत का फ़ायदा हुआ।	They obtained a yield of 8 percent on their investment.
गाड़ी में आसानी से पहाड़ चढ़ने लायक जान है।	This car has enough power to go up the mountain easily.
हमे पर्यावरण के प्रदूषण को रोकने का प्रयास करना चाहिए।	We ought to do our best not to pollute our environment.
आप ये किताबें पुस्तकालय से एक हफ़्ते के लिए ले सकते हैं।	You can borrow these books from the library for a week.
तुम्हारे पैर सूज गए हैं क्योंकि तुम्हारे जूते बहुत छोटे हैं।	Your feet are swollen because your shoes are too small.
एक माँ अपने बच्चों के बर्ताव के लिए ज़िम्मेदार होती है।	A mother is responsible for the conduct of her children.
कोलम्बस ने सोचा कि वह पश्चिम दिशा में जाकर भारत पहुँच सकता था।	Columbus argued that he could reach India by going west.
तुम्हें पता नहीं कि वे दो साल पहले ही गुज़र चुके थे?	Didn't you know that he passed away about two years ago?
अगर मुझे उसका पता पता होता, तो मैंने उसे चिट्ठी लिखी हुई होती।	If I had known her address, I would have written to her.
१६०० की शतक में चाय को भारत से यूरोप में लाया गया था।	In the 1600s, tea was introduced into Europe from India.
आपसे बात करके खुशी हुई, पर अब मुझे जाना पड़ेगा।	It's been nice talking to you, but I really must go now.
कल का मौसम कैसा होगा कहना मुश्किल है।	It's hard to say what the weather will be like tomorrow.
तुम कल रात रेडियो को बंद करना भूल गए थे ना?	Last night you forgot to turn off the radio, didn't you?
शब्दकोश (डिक्शनरी) के बिना अंग्रेज़ी की पढ़ाई करना बहुत मुश्किल होगा।	Without a dictionary, it would be hard to study English.
तुम्हें अपने शौक पर इतने सारे पैसे खर्च नहीं करने चाहिए थे।	You ought not to have spent so much money on your hobby.
"कब वापस आओगे?" "यह तो मौसम देख कर पता चलेगा।"	"When will you be back?" "It all depends on the weather."
वह कभी भी इस बात का खयाल नहीं करता है कि मैं कितना व्यस्थ हूँ।	He never takes into account the fact that I am very busy.
अपने परिवार के लिए खाना खरीदना भी मेरे लिए मुश्किल है।	I can barely afford to buy enough food to feed my family.
आजकल अंग्रेज़ी अच्छे से बोलना जानना बहुत ज़रूरी है।	It is essential to have good command of English nowadays.
मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।	Mumbai is the capital of the Indian state of Maharashtra.
मातापिता अपने बच्चों की हिफ़ाज़त के लिए ज़िम्मेदार होते हैं।	Parents are responsible for the safety of their children.
मातापिता अपने बच्चों की सुरक्षा के लिए ज़िम्मेदार होते हैं।	Parents are responsible for the safety of their children.
कुछ लड़के मछलियाँ पकड़ रहे हैं, और बाकी तैर रहे हैं।	Some of the boys are fishing and the others are swimming.
वह बच्चा हालांकि केवल चार साल का ही है, वह अभी से ही सौ तक गिनती कर सकता है।	That child is only four, but he can already count to 100.
तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।	The reason why you failed is you did not try hard enough.
उसकी खिड़की के बाहर इतना शोर हो रहा था कि वह सो नहीं पा रहा था।	He couldn't sleep because of the noise outside his window.
वह अपनी ज़िंदगी को भारत में बीमारों का इलाज करने में समर्पित करना चाहता है।	He intends to devote his life to curing the sick in India.
मेरे पास इतने सारे कपड़े हैं कि मुझे समझ में नहीं आ रहा है कि कल क्या पहनूँ।	I have so many clothes I don't know what to wear tomorrow.
मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया।	I tried to give her some money, but she wouldn't take any.
तुम अमीर हो या ग़रीब, इससे मुझे कोई फ़र्क नहीं पड़ता।	It makes no difference to me whether you are rich or poor.
जापान दुनिया के सबसे ताकतशाली अर्थतंत्रों में से एक है।	Japan is one of the greatest economic powers in the world.
पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।	On the fifteenth of August, thousands of people fly kites.
विष्व में ऐसी कोई भी वस्तु नहीं है जिसपर सूर्य का प्रभाव न पड़ता हो।	There is nothing on earth that is not affected by the sun.
दुनिया में ऐसी कोई भी चीज़ नहीं है जिसपर सूरज का असर न पड़ता हो।	There is nothing on earth that is not affected by the sun.
अगर हमको स्टेशन समय पर पहुँचना है तो हमको जल्दी करनी होगी।	We must hurry if we want to arrive at the station on time.
मेरे हिसाब के मुताबिक उसको अभी तक भारत पहुँच जाना चाहिए था।	According to my calculation, she should be in India by now.
वे हालांकि जुड़वा हैं, उनके शोक एक-दूसरे से बहुत अलग हैं।	Although they are twins, they have few interests in common.
जो पैसे भर चुकें हैं, उनके नाम काट दो।	Cross off the names of the people who have paid their dues.
जब मैं सड़क पर उसके सामने से गया, उसने जानबूझकर मुझे पहचाना नहीं।	He deliberately ignored me when I passed him in the street.
उसने मुझसे वादा किया था कि वह आगे से ज़्यादा सावधान रहेगा।	He promised me that he would be more careful in the future.
उस फ़िल्म को देखना भारत के सफ़र पर जाने जैसा है।	Seeing that movie is something like taking a trip to India.
अधिकारियों ने सच्चाई को आम जनता से छिपा कर रखा हुआ है।	The authorities have been hiding the facts from the public.
उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।	The instant he opened the door, he smelt something burning.
असली और नकली हीरों में क्या फ़र्क होता है?	What is the difference between imitation and real diamonds?
हम सूरज के डूबने से पहले अपनी मंजिल तक पहुँच जाएँगे।	By the time the sun sets, we will arrive at the destination.
वह धूल से लिपटी हुई गुड़िया कमरे के कोने में खड़ी हुई थी।	Covered with dust, the doll stood in the corner of the room.
उसे खाने की बर्बादी करना पसंद नहीं था, तो उसने अपना खाना खाकर खतम किया।	He finished his dinner because he didn't like to waste food.
उसे कोई भी पसंद नहीं करता क्योंकि वह सारे टाईम अपनी बड़ाई करता रहता है।	Nobody likes him, because he is always blowing his own horn.
उन्होंने मांग करी है कि इस किताब की सारी कॉपियाँ नष्ट कर दीं जाएं।	They have demanded that all copies of the book be destroyed.
खेत में बकरियों की देखभाल करने वाले आदमी को क्या बुलाया जाता है?	What do you call a man who takes care of sheep in the field?
जब उसने उनके वेतन बढ़ाने से इनकार कर दिया, उन्होंने हड़ताल कर दी।	When he would not give them higher pay, they went on strike.
मुझे दुख होता है जब मैं उन लोगों की सोचता हों जो जंग में अपनी जान खो देते हैं।	I feel sad when I think about all the people who die in wars.
लगता है कि बारिश होगी। तुम्हे छाता लेकर जाना चाहिए।	It looks like rain. You had better take an umbrella with you.
मछवारे ने पकड़ी हुई मछली के आकार को बढ़ा-चढ़ाकर बताया।	The fisherman exaggerated the size of the fish he had caught.
नई सरकार ने देश को भ्रष्टाचार से मुक्त करने का वादा किया।	The new government promised to rid the country of corruption.
उसके जूते इतने पुराने थे कि उनमें से उसकी ऊँगलियाँ निकल रहीं थीं।	His shoes were so old that his toes were sticking out of them.
उसकी मदद के बिना तुम नहीं कर पाते।	If it had not been for her help, you would never have done it.
मैं आज घर साफ़ करने के बजाय सैर करने जाऊँगी।	Instead of cleaning the house today, I think I'll take a walk.
परसों से बारिश रुक रुक के हो रही है।	It has been raining on and off since the day before yesterday.
मुझे परीक्षा की तैयारी करने के लिए कम-से-कम दस घंटे लगेंगे।	It will take me no less than 10 hours to prepare for the exam.
मेरी दिखने में तो अपनी माँ की तरह है पर चरित्र में अलग है।	Mary resembles her mother in appearance, but not in character.
आज सुबह मौसम इतना खराब था कि मुझे टैक्सी लेनी पड़ी।	This morning the weather was so bad that I had to take a taxi.
जब वह मुश्किलों में पड़ता है, वह हमेशा अपनी बहन से मदद माँगता है।	When he is in trouble, he always turns to his sister for help.
तुम्हे स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है?	How long has it been since you gave up teaching at that school?
मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।	I don't think I shall get through all this work this afternoon.
मेरा स्टॉप छूट गया। अगला स्टॉप कितनी देर में आएगा?	I missed my stop. How long does it take to reach the next stop?
हमको इस घटना की तहकीकात करने में कम-से-कम तीन हफ़्ते लगेंगे।	To investigate the incident would take us at least three weeks.
तुम्हारी उम्र जितनी बड़ी होती है, तुम्हारे लिए कोई भाषा सीखना उतना ही कठिन होता है।	The older you are, the more difficult it is to learn a language.
बिजली कम्पनियाँ कोयले का इस्तेमाल कम करने की कोशिश कर रही हैं।	Electric power companies are seeking to reduce their use of coal.
हम जब तक अपना स्वास्थ्य नहीं खो देते हैं तब तक उसकी असली कीमत नहीं पहचानते हैं।	It is not till we lose our health that we realize its true value.
हम जब तक अपनी सेहत नहीं खो देते हैं, हमे तब तक उसकी असली कीमत नहीं पहचानते हैं।	It is not till we lose our health that we realize its true value.
वह अपने बाल कटवाना चाह्ती थी, पर उसकी मम्मी राज़ी नहीं थी।	She wanted to have her hair cut, but her mother wouldn't let her.
छत पर घूरने के बजाए उपन्यास ही पढ़लो।	You might as well read a novel instead of staring at the ceiling.
तम्हें नहीं लगता कि एसी कुछ ज़्यादा ही तेज़ चल रहा है?	Don't you think the air conditioner is turned up too high in here?
तुम आज जाओ या कल, इससे ज़्यादा फ़र्क नहीं पड़ेगा।	It will not make much difference whether you go today or tomorrow.
उस लड़के ने एक मुट्ठीभर मूँगफलियाँ लीं और उन्हें एक छोटे से डब्बे में डाल दिया।	The boy gathered a handful of peanuts and put them in a small box.
हवा में एक अफ़वाह है कि उस कारोबार का दिवालिया होने वाला है।	There's a rumor in the air that the firm is going into bankruptcy.
कमरे से निकलने से पहले, कृपया बत्तियाँ बंद कर दीजिएगा।	When you leave the room, please make sure you turn off the lights.
अगर टॉम हमारी मदद नहीं करेगा तो हम ये समय पर कभी नहीं कर पायेंगे।	If Tom doesn't help us, we'll never be able to finish this on time.
कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।	You must not be afraid of making mistakes when learning a language.
अगर आपके पास थोड़ा समय हो, तो कृपया निम्न वाक्यों का अनुवाद करेंगे?	If you have a time, could you translate some sentences below, please?
दुनिया भर में बहुत से लोगों को अच्छा पानी उपलब्ध नहीं है।	Many people around the world don't have access to good quality water.
कम्पनी ने उसकी सेवाओं की पहचान में उसे सोनी की घड़ी दी।	The company gave him a gold watch in acknowledgement of his services.
उसने केक को छः टुकड़ो में काट कर, हर बच्चे हो एक टुकड़ा दिया।	She cut the cake into six pieces and gave one to each of the children.
जुड़वा बहनें एक-दूसरे से इतनी मिलती-जुलतीं हैं कि मैं उनमें फ़र्क नहीं बता सकती।	The twin girls are so much alike that I can't tell one from the other.
मुझे रात को खाना खाने के बाद अपने भाई को उसके होमवर्क के साथ मदद करने की आदत है।	I make it a practice to help my brother with his homework after supper.
इन कर्मचारियों को नौकरी से निकालने की बजाय क्यों न हम इनके काम करना का समय कम करदें?	Instead of laying off these workers, why don't we just cut their hours?
हमारे माता-पिता ने हमारी देखभाल की थी और अभ हमारी बारी है उनकी देखभाल करने की।	Our parents took care of us and now it's our turn to take care of them.
चोरों ने पैसे ढूँढने के लिए मेज़ की सारी दराज़ें खोल डालीं।	The thieves pulled open all the drawers of the desk in search of money.
जब मैं अठारह साल का था मैंने गाड़ी चलानी सीखी और लाईसेंस बनवालिया।	I learned to drive a car and got a driver's license when I was eighteen.
जब पिताजी विदेश में थे, वे हमारे साथ चिट्ठी और फ़ोन से सम्पर्क करते थे।	Father kept in touch with us by mail and telephone while he was overseas.
मदर टेरेसा एक कैथोलिक नन थीं जो कलकत्ता में रहतीं और काम करतीं थीं।	Mother Teresa was a Catholic nun who lived and worked in Calcutta, India.
जार्ज वाशिंगटन संयुक्त राज्य अमेरिका के पहले राष्ट्रपति थे	George Washington was the first president of the Unites States of America.
१९५१ में सिस्टर टेरेसा को कलकत्ता भेजा गया था, जो उस समय भारत का सबसे बड़ा शहर था।	In 1951, Sister Teresa was sent to Calcutta, then the largest city in India.
मदर टेरेसा को जो इनाम में पैसे मिले, उन्होंने उन पैसों को भारत और विदोश दोनों में अपने काम में लगाया।	Mother Teresa used the prize money for her work in India and around the world.
उस सूपरमार्केट में तुम लगभग कोई भी रोजाने में इस्तेमाल होने वाला सामान ख़रीद सकते हो।	If you go to that supermarket, you can buy most things you use in your daily life.
जिन यात्रियों को दुर्घटना मे चोट आई थी उन्हे अस्पताल ले जाया गया।	The passengers who were injured in the accident were taken to the nearest hospital.
लोकतंत्र सरकार का सबसे घिनौना रूप है, अगर बाकी सारी तरह की सरकारों को अंदेखा किया जाए तो।	Democracy is the worst form of government, except all the others that have been tried.
अगर मेरा बेटा ट्रेफ़िक हादसे में नहीं मारा गया होता, तो वह अभी कॉलेज जा रहा होता।	If my boy had not been killed in the traffic accident, he would be a college student now.
